headliner,opener1,opener2,opener3,date,day_of_week,start_time,location_name,location_address,headliner_from,genre,location_lat,location_long
Alexander Biggs,Ruby Gill,David M. Western,,2020-02-21,Friday,8:00 PM,Common Rooms,"54 Victoria St, Carlton VIC 3053",Melbourne,Singer-songwriter,-37.8064311,144.9664008
Asha Jefferies,Betty Taylor,Kaitlin Keegan,,2024-04-26,Friday,8:00 PM,The Workers Club,"51 Brunswick St, Fitzroy VIC 3065",Brisbane,Singer-songwriter,-37.8055776,144.9769451
Phoebe Go,Jacob Diamond,,,2024-06-06,Thursday,8:00 PM,Northcote Social Club,"301 High St, Northcote VIC 3070",Melbourne,Singer-songwriter,-37.771471,144.998414
Low Monroe & The Fugitives,Sweatshop,Beat Panic,Tina Growls,2024-06-28,Friday,7:00 PM,The Grace Darling Hotel,"114 Smith St, Collingwood VIC 3066",Melbourne,Alt-rock,-37.804851,144.983442
Holly Hebe,Chloe the Brand,Grace Baker,,2024-10-11,Friday,7:00 PM,The Grace Darling Hotel,"114 Smith St, Collingwood VIC 3066",Melbourne,Indie pop,-37.804851,144.983442
toe,Dumbsaint,,,2024-10-19,Saturday,8:00 PM,Max Watt's,"125 Swanston St, Melbourne VIC 3000",Japan,Post-rock,-37.8146985,144.9659485
Folk Bitch Trio,Rowena Wise,,,2024-11-08,Friday,8:00 PM,Howler,"7-11 Dawson St, Brunswick VIC 3056",Melbourne,Indie folk,-37.7720304,144.9596527
Rowena Wise,Jess Locke,,,2024-12-09,Monday,8:00 PM,Merri Creek Tavern,"111 High St, Northcote VIC 3070",Melbourne,Singer-songwriter,-37.7794356,144.996838
EGOISM,doegaege,Adored,,2025-03-28,Friday,8:30 PM,The Tote (Upstairs),"67-71 Johnston St, Collingwood VIC 3066",Sydney,Indie pop,-37.799406,144.9870814
Ruby Gill,Juice Webster,,,2025-04-15,Tuesday,7:30 PM,Northcote Social Club,"51 Brunswick St, Fitzroy VIC 3065",Melbourne,Singer-songwriter,-37.8055776,144.9769451
Alexander Biggs,Chitra,Benjamin Trillado,,2025-05-21,Tuesday,7:30 PM,The Old Bar,"74-76 Johnston St, Fitzroy VIC 3065",United States,Singer-songwriter,-37.7983532,144.9771009
Hannie Day,Dog Door,Copperfield Band,,2025-06-19,Thursday,7:30 PM,The Grace Darling Hotel,"114 Smith St, Collingwood VIC 3066",Melbourne,Singer-songwriter,-37.804851,144.983442
Jet City Sports Club,Lucky,,,2025-06-27,Friday,8:00 PM,Merri Creek Tavern,"111 High St, Northcote VIC 3070",Sydney,Indie pop/rock,-37.7794356,144.996838
Folk Bitch Trio,,,,2025-07-05,Saturday,2:00 PM,Soundmerch,"64 Oxford St, Collingwood VIC 3066",Melbourne,Singer-songwriter,-37.805386,144.984819
Faye Webster,sleepazoid,,,2025-07-12,Saturday,7:00 PM,Forum Melbourne,"154 Flinders St, Melbourne VIC 3000",United States,Singer-songwriter,-37.8164414,144.9693768
Ella Ion,D.C. Maxwell,,,2025-07-25,Friday,5:00 PM,The Tote (front bar),"67-71 Johnston St, Collingwood VIC 3066",Adelaide,Singer-songwriter,-37.799406,144.9870814
Belair Lip Bombs,Armlock,Lucky,,2025-08-21,Thursday,7:30 PM,Northcote Social Club,"51 Brunswick St, Fitzroy VIC 3065",Melbourne,Indie rock,-37.8055776,144.9769451
wave to earth,yung kai,,,2025-12-03,Wednesday,7:00 PM,Forum Melbourne,"154 Flinders St, Melbourne VIC 3000",South Korea,Indie rock,-37.8164414,144.9693768
Hayden Calnin,Gaia Scarf,Dustin Tebbutt,,2025-12-10,Wednesday,7:30 PM,Howler,"7-11 Dawson St, Brunswick VIC 3056",Melbourne,Singer-songwriter,-37.7720304,144.9596527
Bluetile Lounge,Garage Sale,wriding,,2026-04-02,Thursday,6:30 PM,Brunswick Ballroom,"314 Sydney Road, Brunswick VIC 3056",Perth,Slowcore,-37.7704205,144.9617083
Hana Stretton,Alice Barlow,,,2026-05-21,Thursday,7:00 PM,Bell City Takeaway,"221 High St, Preston VIC 3072",Melbourne,Singer-songwriter,-37.7453451,145.0025438
